WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
1,Identify need,T day ,T+2d ,24,3d,48,1w 1d,0%,,,,,,,,,,,,,
1.1,# of racks needed,T day ,T+2d ,24,3d,24,3d,0%,,,,,,,,,,,0,,
1.2,total # of Kw,T day ,T+2d ,24,3d,24,3d,0%,,,,,,,,,,,0,,
2,Internal Steps:,T day ,T day ,8,1d,32,4d,0%,,,,,,,,,,,,,
2.1,Set up a wiki/documentation area,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
2.2,set up folders for documentation/contracts etc.,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
2.3,"spreadsheets for U level layouts, bins, inventory etc.",T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
2.4,set up meeting cadence,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
3,Sample topology,T+3d ,T+4d ,16,2d,80,2w,0%,,,,,,,,,"1, 2",,,,
3.1,sample bom,T+3d ,T+4d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3.2,"Sample U, and cabinet layout",T+3d ,T+3d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
3.3,Topology defined,T+3d ,T+4d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3.4,estimate budget,T+3d ,T+4d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3.5,Security review,T+3d ,T+4d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3.6,Project initial review,T+3d ,T+3d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
4, RFP/questionaire:,T+5d ,T+14d ,80,2w,80,2w,0%,,,,,,,,,3,,,,
4.1,Create and issue a RFP (small questionaire),T+5d ,T+9d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
4.2,review answers,T+10d ,T+14d ,40,1w,40,1w,0%,,,,,,,,,4.1,,0,,
5,Location Selection,T+15d ,T+38d ,192,1mo 4d,218,1mo 1w 2d 2h,0%,,,,,,,,,4,,,,
