WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
1,Identify need,T day ,T+4d ,40,1w,80,2w,0%,,,,,,,,,,,,,
1.1,# of racks needed,T day ,T+4d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
1.2,total # of Kw,T day ,T+4d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
2,Internal Steps:,T day ,T+1d ,16,2d,64,1w 3d,0%,,,,,,,,,,,,,
2.1,Set up a wiki/documentation area,T day ,T+1d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
2.2,set up folders for documentation/contracts etc.,T day ,T+1d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
2.3,"spreadsheets for U level layouts, bins, inventory etc.",T day ,T+1d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
2.4,set up meeting cadence,T day ,T+1d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3,Sample topology,T+5d ,T+8d ,32,4d,136,3w 2d,0%,,,,,,,,,"1, 2",,,,
3.1,sample bom,T+5d ,T+8d ,32,4d,32,4d,0%,,,,,,,,,,,0,,
3.2,"Sample U, and cabinet layout",T+5d ,T+6d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3.3,Topology defined,T+5d ,T+8d ,32,4d,32,4d,0%,,,,,,,,,,,0,,
3.4,estimate budget,T+5d ,T+6d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3.5,Security review,T+5d ,T+8d ,32,4d,32,4d,0%,,,,,,,,,,,0,,
3.6,Project initial review,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
4, RFP/questionaire:,T+9d ,T+28d ,160,1mo,160,1mo,0%,,,,,,,,,3,,,,
4.1,Create and issue a RFP (small questionaire),T+9d ,T+23d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
4.2,review answers,T+24d ,T+28d ,40,1w,40,1w,0%,,,,,,,,,4.1,,0,,
5,Location Selection,T+29d ,T+63d ,280,1mo 3w,370,2mo 1w 1d 2h,0%,,,,,,,,,4,,,,
5.1,Review locations,T+29d ,T+33d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
5.2,See locations,T+34d ,T+38d ,40,1w,40,1w,0%,,,,,,,,,5.1,,0,,
5.3,"Examine 1 lines, and ops processes",T+34d ,T+35d ,16,2d,16,2d,0%,,,,,,,,,5.1,,0,,
5.4,Finalize locations,T+36d ,T+50d ,120,3w,120,3w,0%,,,,,,,,,5.3,,0,,
5.5,Receive/review quote,T+51d ,T+52d ,16,2d,16,2d,0%,,,,,,,,,5.4,,0,,
5.6,Review cage layout,T+51d ,T+52d ,16,2d,16,2d,0%,,,,,,,,,5.4,,0,,
5.7,Review contract paperwork,T+53d ,T+57d ,40,1w,40,1w,0%,,,,,,,,,"5.5, 5.6",,0,,
5.8,update budget,T+58d ,T+58d ,2,2h,2,2h,0%,,,,,,,,,5.7,,0,,
5.9,Sign MSA (Master Services Agreement),T+59d ,T+63d ,40,1w,40,1w,0%,,,,,,,,,"5.7, 5.8",,0,,
5.10,Sign Order (actual order),T+59d ,T+63d ,40,1w,40,1w,0%,,,,,,,,,"5.7, 5.8",,0,,
5.11,"Get a ""SPACE READY DATE""",T+63d ,T+63d ,,,,,0%,,,,,,,,,5.10,,,,
6,Select Network providers,T+51d ,T+80d ,240,1mo 2w,240,1mo 2w,0%,,,,,,,,,,,,,
6.1,confirm providers are on-net,T+51d ,T+54d ,32,4d,32,4d,0%,,,,,,,,,5.4,,0,,
6.2,Receive/review quote,T+55d ,T+59d ,40,1w,40,1w,0%,,,,,,,,,6.1,,0,,
6.3,Review contract paperwork,T+60d ,T+74d ,120,3w,120,3w,0%,,,,,,,,,6.2,,0,,
6.4,update budget,T+75d ,T+76d ,16,2d,16,2d,0%,,,,,,,,,6.3,,0,,
6.5,Sign MSA (Master Services Agreement),T+77d ,T+78d ,16,2d,16,2d,0%,,,,,,,,,6.4,,0,,
6.6,Sign Order (actual order),T+79d ,T+80d ,16,2d,16,2d,0%,,,,,,,,,"5.10, 6.5",,0,,
6.7,get a Firm Order Commit (FOC) date.,T+80d ,T+80d ,,,,,0%,,,,,,,,,6.6,,,,
7,Peering fabric,T+51d ,T+78d ,224,1mo 1w 3d,240,1mo 2w,0%,,,,,,,,,5.4,,,,
7.1,confirm fabrics that are available,T+51d ,T+52d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
7.2,Receive/review quote,T+53d ,T+62d ,80,2w,80,2w,0%,,,,,,,,,7.1,,0,,
7.3,Review contract paperwork,T+63d ,T+67d ,40,1w,40,1w,0%,,,,,,,,,7.2,,0,,
7.4,update budget,T+68d ,T+68d ,8,1d,8,1d,0%,,,,,,,,,7.3,,0,,
7.5,Sign MSA (Master Services Agreement),T+69d ,T+78d ,80,2w,80,2w,0%,,,,,,,,,7.4,,0,,
7.6,Sign Order (actual order),T+69d ,T+70d ,16,2d,16,2d,0%,,,,,,,,,7.4,,0,,
8,vendor set up - sundries,T+9d ,T+10d ,16,2d,144,3w 3d,0%,,,,,,,,,3,,,,
8.1,grainger,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
8.2,anixter,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
8.3,graybar,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
8.4,amazon,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
8.5,cdw,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
8.6,Quail,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
8.7,DatacenterGear,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
8.8,FiberStore,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
8.9,Flexoptix,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
9,vendor set up - network reseller,T+9d ,T+35d ,216,1mo 1w 2d,216,1mo 1w 2d,0%,,,,,,,,,3,,,,
9.1,"interview resellers,",T+9d ,T+18d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
9.2,request quote,T+19d ,T+23d ,40,1w,40,1w,0%,,,,,,,,,9.1,,0,,
9.3,Review contract paperwork,T+24d ,T+33d ,80,2w,80,2w,0%,,,,,,,,,9.2,,0,,
9.4,Sign Order (actual order),T+34d ,T+35d ,16,2d,16,2d,0%,,,,,,,,,9.3,,0,,
10,vendor set up - Integrator,T+9d ,T+52d ,352,2mo 4d,280,1mo 3w,0%,,,,,,,,,3,,,,
10.1,interview integrators,T+9d ,T+18d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
10.2,visit location,T+19d ,T+20d ,16,2d,16,2d,0%,,,,,,,,,10.1,,0,,
10.3,Request quote,T+21d ,T+30d ,80,2w,80,2w,0%,,,,,,,,,10.2,,0,,
10.4,Review contract paperwork,T+31d ,T+32d ,16,2d,16,2d,0%,,,,,,,,,10.3,,0,,
10.5,revise bom,T+33d ,T+36d ,32,4d,32,4d,0%,,,,,,,,,10.4,,0,,
10.6,layout and cabling verification,T+37d ,T+41d ,40,1w,40,1w,0%,,,,,,,,,10.5,,0,,
10.7,Sign Order (actual order),T+51d ,T+52d ,16,2d,16,2d,0%,,,,,,,,,"5.4, 10.6",,0,,
11,Sundries:,T+9d ,T+65d ,456,2mo 3w 2d,56,1w 2d,0%,,,,,,,,,3,,,,
11.1,add parts to shopping lists,T+9d ,T+12d ,32,4d,32,4d,0%,,,,,,,,,,,0,,
11.2,update budget,T+9d ,T+9d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
11.3,order parts.,T+64d ,T+65d ,16,2d,16,2d,0%,,,,,,,,,5.11,,0,,
12,LOCAL RIR (eg: ARIN),T+9d ,T+45d ,296,1mo 3w 2d,296,1mo 3w 2d,0%,,,,,,,,,3,,,,
12.1,Create POC Record,T+9d ,T+10d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
12.2,Create ORGid,T+11d ,T+15d ,40,1w,40,1w,0%,,,,,,,,,12.1,,0,,
12.3,ASN Request,T+16d ,T+20d ,40,1w,40,1w,0%,,,,,,,,,12.2,,0,,
