WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
1,Identify need,T day ,T+4d ,40,1w,80,2w,0%,,,,,,,,,,,,,
1.1,# of racks needed,T day ,T+4d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
1.2,total # of Kw,T day ,T+4d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
2,Internal Steps:,T day ,T day ,8,1d,32,4d,0%,,,,,,,,,,,,,
2.1,Set up a wiki/documentation area,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
2.2,set up folders for documentation/contracts etc.,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
2.3,"spreadsheets for U level layouts, bins, inventory etc.",T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
2.4,set up meeting cadence,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
3,Sample topology,T+5d ,T+9d ,40,1w,136,3w 2d,0%,,,,,,,,,"1, 2",,,,
3.1,sample bom,T+5d ,T+8d ,32,4d,32,4d,0%,,,,,,,,,,,0,,
3.2,"Sample U, and cabinet layout",T+5d ,T+6d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3.3,Topology defined,T+5d ,T+6d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3.4,estimate budget,T+5d ,T+9d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
3.5,Security review,T+5d ,T+6d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3.6,Project initial review,T+5d ,T+6d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
4, RFP:,T+10d ,T+34d ,200,1mo 1w,200,1mo 1w,0%,,,,,,,,,3,,,,
4.1,Create and issue a RFP.,T+10d ,T+14d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
4.2,review answers,T+15d ,T+24d ,80,2w,80,2w,0%,,,,,,,,,4.1,,0,,
4.3,Follow up questions/answers,T+25d ,T+34d ,80,2w,80,2w,0%,,,,,,,,,4.2,,0,,
5,Location Selection,T+35d ,T+76d ,336,2mo 2d,336,2mo 2d,0%,,,,,,,,,4,,,,
5.1,Review locations,T+35d ,T+44d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
5.2,See locations,T+45d ,T+46d ,16,2d,16,2d,0%,,,,,,,,,5.1,,0,,
5.3,"Examine 1 lines, and ops processes",T+47d ,T+48d ,16,2d,16,2d,0%,,,,,,,,,5.2,,0,,
5.4,Finalize locations,T+49d ,T+50d ,16,2d,16,2d,0%,,,,,,,,,5.3,,0,,
5.5,Receive/review quote,T+51d ,T+52d ,16,2d,16,2d,0%,,,,,,,,,5.4,,0,,
5.6,Review cage layout,T+53d ,T+54d ,16,2d,16,2d,0%,,,,,,,,,5.5,,0,,
5.7,Review contract paperwork,T+55d ,T+64d ,80,2w,80,2w,0%,,,,,,,,,"5.5, 5.6",,0,,
5.8,update budget,T+65d ,T+66d ,16,2d,16,2d,0%,,,,,,,,,5.7,,0,,
5.9,Sign MSA (Master Services Agreement),T+67d ,T+71d ,40,1w,40,1w,0%,,,,,,,,,"5.7, 5.8",,0,,
5.10,Sign Order (actual order),T+72d ,T+76d ,40,1w,40,1w,0%,,,,,,,,,5.9,,0,,
5.11,"Get a ""SPACE READY DATE""",T+76d ,T+76d ,,,,,0%,,,,,,,,,5.10,,,,
6,Electrical Work,T+35d ,T+77d ,344,2mo 3d,72,1w 4d,0%,,,,,,,,,4,,,,
6.1,Refine Scope of work,T+35d ,T+36d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
6.2,"(eg: Busbar, breakers, grounding etc.)",T+35d ,T+36d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
6.3,Quote received,T+37d ,T+40d ,32,4d,32,4d,0%,,,,,,,,,"6.1, 6.2",,0,,
6.4,order signed,T+77d ,T+77d ,8,1d,8,1d,0%,,,,,,,,,"5.10, 6.3",,0,,
7,Cabling Contractors,T+35d ,T+77d ,344,2mo 3d,56,1w 2d,0%,,,,,,,,,4,,,,
7.1,Review cable map,T+35d ,T+36d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
7.2,Quote received,T+37d ,T+40d ,32,4d,32,4d,0%,,,,,,,,,7.1,,0,,
7.3,order signed,T+77d ,T+77d ,8,1d,8,1d,0%,,,,,,,,,"5.10, 7.2",,0,,
8,Misc contractors,T day ,T+77d ,624,3mo 3w 3d,56,1w 2d,0%,,,,,,,,,,,,,
8.1,"(eg: bolt down system), ",T day ,T+1d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
8.2,Quote received,T+2d ,T+5d ,32,4d,32,4d,0%,,,,,,,,,8.1,,0,,
8.3,order signed,T+77d ,T+77d ,8,1d,8,1d,0%,,,,,,,,,"5.10, 8.2",,0,,
9,structural engineering review,T+51d ,T+53d ,24,3d,24,3d,0%,,,,,,,,,"5.4, 8.2",,0,,
10,permit review and approvals.,T+54d ,T+58d ,40,1w,40,1w,0%,,,,,,,,,"5.4, 8.2, 9",,0,,
11,Select Network providers,T+51d ,T+78d ,224,1mo 1w 3d,120,3w,0%,,,,,,,,,,,,,
11.1,confirm providers are on-net,T+51d ,T+52d ,16,2d,16,2d,0%,,,,,,,,,5.4,,0,,
11.2,Receive/review quote,T+53d ,T+54d ,16,2d,16,2d,0%,,,,,,,,,11.1,,0,,
11.3,Review contract paperwork,T+55d ,T+59d ,40,1w,40,1w,0%,,,,,,,,,11.2,,0,,
11.4,update budget,T+60d ,T+61d ,16,2d,16,2d,0%,,,,,,,,,11.3,,0,,
11.5,Sign MSA (Master Services Agreement),T+62d ,T+63d ,16,2d,16,2d,0%,,,,,,,,,11.4,,0,,
11.6,Sign Order (actual order),T+77d ,T+78d ,16,2d,16,2d,0%,,,,,,,,,"5.10, 11.5",,0,,
11.7,get a Firm Order Commit (FOC) date.,T+78d ,T+78d ,,,,,0%,,,,,,,,,11.6,,,,
12,Peering fabric,T+51d ,T+61d ,88,2w 1d,88,2w 1d,0%,,,,,,,,,5.4,,,,
12.1,confirm fabrics that are available,T+51d ,T+51d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
12.2,Receive/review quote,T+52d ,T+55d ,32,4d,32,4d,0%,,,,,,,,,12.1,,0,,
12.3,Review contract paperwork,T+56d ,T+57d ,16,2d,16,2d,0%,,,,,,,,,12.2,,0,,
12.4,update budget,T+58d ,T+58d ,8,1d,8,1d,0%,,,,,,,,,12.3,,0,,
12.5,Sign MSA (Master Services Agreement),T+59d ,T+60d ,16,2d,16,2d,0%,,,,,,,,,12.4,,0,,
12.6,Sign Order (actual order),T+61d ,T+61d ,8,1d,8,1d,0%,,,,,,,,,12.5,,0,,
13,vendor set up - sundries,T+10d ,T+10d ,8,1d,72,1w 4d,0%,,,,,,,,,3,,,,
13.1,grainger,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.2,anixter,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.3,graybar,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.4,amazon,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.5,cdw,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.6,Quail,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.7,DatacenterGear,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.8,FiberStore,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.9,Flexoptix,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
14,vendor set up - network reseller,T+10d ,T+13d ,32,4d,32,4d,0%,,,,,,,,,3,,,,
14.1,"interview resellers,",T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
14.2,request quote,T+11d ,T+11d ,8,1d,8,1d,0%,,,,,,,,,14.1,,0,,
14.3,Review contract paperwork,T+12d ,T+12d ,8,1d,8,1d,0%,,,,,,,,,14.2,,0,,
14.4,Sign Order (actual order),T+13d ,T+13d ,8,1d,8,1d,0%,,,,,,,,,14.3,,0,,
