WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
1,Identify need,T day ,T+9d ,80,2w,160,1mo,0%,,,,,,,,,,,,,
1.1,# of racks needed,T day ,T+9d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
1.2,total # of Kw,T day ,T+9d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
2,Internal Steps:,T day ,T+1d ,16,2d,64,1w 3d,0%,,,,,,,,,,,,,
2.1,Set up a wiki/documentation area,T day ,T+1d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
2.2,set up folders for documentation/contracts etc.,T day ,T+1d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
2.3,"spreadsheets for U level layouts, bins, inventory etc.",T day ,T+1d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
2.4,set up meeting cadence,T day ,T+1d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
3,Sample topology,T+10d ,T+17d ,64,1w 3d,216,1mo 1w 2d,0%,,,,,,,,,"1, 2",,,,
3.1,sample bom,T+10d ,T+17d ,64,1w 3d,64,1w 3d,0%,,,,,,,,,,,0,,
3.2,"Sample U, and cabinet layout",T+10d ,T+13d ,32,4d,32,4d,0%,,,,,,,,,,,0,,
3.3,Topology defined,T+10d ,T+13d ,32,4d,32,4d,0%,,,,,,,,,,,0,,
3.4,estimate budget,T+10d ,T+14d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
3.5,Security review,T+10d ,T+13d ,32,4d,32,4d,0%,,,,,,,,,,,0,,
3.6,Project initial review,T+10d ,T+11d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
4, RFP:,T+18d ,T+52d ,280,1mo 3w,280,1mo 3w,0%,,,,,,,,,3,,,,
4.1,Create and issue a RFP.,T+18d ,T+32d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
4.2,review answers,T+33d ,T+42d ,80,2w,80,2w,0%,,,,,,,,,4.1,,0,,
4.3,Follow up questions/answers,T+43d ,T+52d ,80,2w,80,2w,0%,,,,,,,,,4.2,,0,,
5,Location Selection,T+53d ,T+107d ,440,2mo 3w,440,2mo 3w,0%,,,,,,,,,4,,,,
5.1,Review locations,T+53d ,T+62d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
5.2,See locations,T+63d ,T+67d ,40,1w,40,1w,0%,,,,,,,,,5.1,,0,,
5.3,"Examine 1 lines, and ops processes",T+68d ,T+69d ,16,2d,16,2d,0%,,,,,,,,,5.2,,0,,
5.4,Finalize locations,T+70d ,T+74d ,40,1w,40,1w,0%,,,,,,,,,5.3,,0,,
5.5,Receive/review quote,T+75d ,T+76d ,16,2d,16,2d,0%,,,,,,,,,5.4,,0,,
5.6,Review cage layout,T+77d ,T+78d ,16,2d,16,2d,0%,,,,,,,,,5.5,,0,,
5.7,Review contract paperwork,T+79d ,T+98d ,160,1mo,160,1mo,0%,,,,,,,,,"5.5, 5.6",,0,,
5.8,update budget,T+99d ,T+100d ,16,2d,16,2d,0%,,,,,,,,,5.7,,0,,
5.9,Sign MSA (Master Services Agreement),T+101d ,T+105d ,40,1w,40,1w,0%,,,,,,,,,"5.7, 5.8",,0,,
5.10,Sign Order (actual order),T+106d ,T+107d ,16,2d,16,2d,0%,,,,,,,,,5.9,,0,,
5.11,"Get a ""SPACE READY DATE""",T+107d ,T+107d ,,,,,0%,,,,,,,,,5.10,,,,
6,Electrical Work,T+52d ,T+112d ,480,3mo,176,1mo 2d,0%,,,,,,,,,4,,,,
6.1,Refine Scope of work,T+53d ,T+59d ,56,1w 2d,56,1w 2d,0%,,,,,,,,,,,0,,
6.2,"(eg: Busbar, breakers, grounding etc.)",T+52d ,T+52d ,,,,,0%,,,,,,,,,,,,,
6.3,Quote received,T+60d ,T+69d ,80,2w,80,2w,0%,,,,,,,,,"6.1, 6.2",,0,,
6.4,order signed,T+108d ,T+112d ,40,1w,40,1w,0%,,,,,,,,,"5.10, 6.3",,0,,
7,Cabling Contractors,T+53d ,T+112d ,480,3mo,160,1mo,0%,,,,,,,,,4,,,,
7.1,Review cable map,T+53d ,T+57d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
7.2,Quote received,T+58d ,T+67d ,80,2w,80,2w,0%,,,,,,,,,7.1,,0,,
7.3,order signed,T+108d ,T+112d ,40,1w,40,1w,0%,,,,,,,,,"5.10, 7.2",,0,,
